HE_genes,DE_genes,NP_genes
Rorb,Sptb,
Scn1a,Etv5,
Phyh,Pyurf,
Npy1r,Gprin3,
Cox14,5330434G04Rik,
Ngef,Elavl2,
Grcc10,Jun,
Limch1,LOC105246694,
Kifap3,Nfkbia,
Gabrg1,Nos1ap,
Cntn4,Gabrg3,
Actr1b,Ano4,
Ube2d3,Lrrc4,
Stk25,Osbpl1a,
Kcnb1,Klf3,
Map2,Tubb2b,
Slc39a10,Sgms1,
Xist,Gpr22,
Ifitm10,BC030499,
Pcsk2,Rnf39,
Elovl4,Rbm24,
Swi5,Pbx1,
Wasf1,Efna5,
Car2,Frmd6,
Ubl5,Gtf2h2,
D10Bwg1379e,Adra1a,
Unc80,Slc12a2,
Tax1bp1,Pcdh18,
Nedd4,1810041L15Rik,
Ankrd46,Inf2,
Calm3,Egfem1,
Thsd7a,Sstr1,
Vamp1,Klhl4,
Smim14,Kctd8,
Ndufa2,Nkain2,
Minos1,Dscaml1,
Bnip3,Ryr3,
Rxfp1,Sema6d,
Ctsl,Msmo1,
Psmc6,Serpinb8,
Ddx1,Cidea,
Nkiras1,Nrg1,
Cdr1,St3gal5,
Ssbp2,Fam184a,
Gabrb1,Grb14,
Dgkb,Gsg1l,
Kctd6,Rgs9,
Itpka,D130043K22Rik,
Pdia6,Dusp18,
Srp14,Slc27a1,
Lrrc4c,G0s2,
Gria4,Cacna1g,
Tmem151a,Pcdh15,
Adcyap1,Usp2,
Inpp5f,Epha6,
Pamr1,Vegfa,
Atp5k,4930430F08Rik,
Brinp3,Galk1,
Ap1s1,Aifm3,
Sorbs1,Ddit4l,
Mt3,Snca,
B3galt2,Gpr123,
Wls,Cd24a,
Mgll,Lrrc75a,
Mgp,Kcnb2,
Mgat4c,Bean1,
Dmxl2,Scg2,
Coa3,A830082K12Rik,
Grin3a,Klhl40,
Rab18,Arhgef15,
Tmem50a,Nr4a3,
Ak5,Rasgrf1,
Pantr1,Sowaha,
Mtch2,Spns2,
Ypel5,Lrfn5,
Mas1,Lhpp,
Vmp1,Cntn5,
Cdh9,Relt,
Krt73,Tmem35,
Ankrd12,Tgfb1i1,
Dgkh,A230006K03Rik,
Mbnl2,Pls3,
Etnk1,Arid5b,
Pcdh7,Jup,
Ano3,Matn2,
Rps3,H2-DMa,
Tia1,Grb10,
Dmtn,Ralyl,
Spock1,Cxxc5,
Thy1,Vstm2l,
Ftl1,Ppcdc,
Pam,Smad3,
BC005561,Tnfaip8l3,
Col6a1,Slit1,
Cfl2,Htr2a,
Capzb,Ptgs1,
Gm11223,Pld5,
Map2k4,A330102I10Rik,
Hspa4l,Cdh7,
Arpc5,Tox3,
Pik3r1,Khdrbs2,
Zbtb18,2610034B18Rik,
Vps41,Hpcal4,
Dmd,LOC105244000,
Ndufa7,Sh3rf3,
Plcb1,Ppapdc1a,
Ivns1abp,Plch2,
Arhgdig,Wdpcp,
Vps28,Bcar3,
Pkia,Pmepa1,
Ap2s1,Dcdc2a,
Atp6v0d1,Trmt2b,
S100a10,Hpca,
Apc,Unc5a,
Nyap2,Ptchd1,
Tmx4,Dclk3,
Kras,Pou3f3,
Prps1,Plk2,
Pdha1,Agpat4,
Ndufs4,Mast4,
Negr1,Cers6,
Clip3,Drd1,
Cadps,Lsm11,
Cbx5,Slc6a6,
Synj1,Ethe1,
Pafah1b2,Echdc2,
Podxl2,Gpsm2,
Acot13,Slc8a1,
Cplx2,Neurod1,
Foxp1,Rin1,
Map9,Trim66,
2900055J20Rik,Rerg,
11-Sep,Serpina3n,
Tceb2,9630033F20Rik,
Atp6v0a1,Cdc42ep2,
Bhlhe40,Epha10,
Bclaf1,Ptp4a3,
Spcs2,Hunk,
Pcmt1,Tmem163,
Camk2d,Ppcs,
Ndufs1,Pgm1,
Snap91,Tnfaip8l1,
Sf3b6,Rab34,
Park7,Vwc2l,
Smim13,Tenm3,
Alg2,Dleu2,
Clns1a,Dcc,
Atp6v1g1,Tshz1,
Zfand5,Racgap1,
Psma3,Epb4.1l4b,
Gm13889,Nr2f1,
Extl2,Nmral1,
Hdac9,Sipa1l2,
Hsd17b12,Dtx4,
Pde2a,Nudt4,
Fam131a,Fam19a5,
Stxbp5l,Hrh2,
Clcn4-2,Zeb2,
Mia,Chrd,
Cetn3,Auts2,
Ndufa8,Ankrd34b,
Nsg2,Tnfrsf19,
Fkbp4,4930447C04Rik,
Smarca2,Gabbr2,
Psmd2,Man1a,
Cops6,Sipa1l1,
Sod1,Tcap,
Dctn2,Nfia,
Eml5,Tmem86a,
Ran,Kcnj12,
Cap2,Shisa6,
Sncg,Plagl1,
Atl1,Dpysl5,
C1d,Ephx2,
Ly6h,Nmrk1,
Slc7a4,Nrg3,
Rasl11a,Kcnk4,
Lpgat1,Wfs1,
Amigo2,Rgs7,
Txnl4a,Vstm2a,
Srpk2,Lzts1,
Prmt2,Lrrc55,
Bcap31,Dbpht2,
Sort1,Camk2a,
Lppr4,Efnb2,
Bend6,Macrod1,
Rraga,Eps8,
Ube2w,Pitpnm3,
Atad1,Prdx6,
Ift57,Kctd16,
Herpud1,Zfp385b,
Ids,Tpd52,
LOC105242387,Id4,
Psmc3,Arhgap25,
Cul1,S100a6,
Map4,Fam53b,
Ccdc136,Tmem255a,
8-Sep,Vwc2,
Cacna2d1,Ablim3,
Frrs1l,Npas2,
Dlg1,Paqr8,
Gpr123,Car2,
Actr10,9530091C08Rik,
Arpc5l,Ptpn3,
Emc7,A730020E08Rik,
Grm7,Asb11,
Prox1,Kcnk3,
Cnksr2,Srgap3,
Mcts1,Hbegf,
Npas1,Fam132a,
Atp9a,Lrrtm3,
Cpne2,Bhlhe22,
Ube2ql1,Il1rapl2,
Cfdp1,Aqp11,
Asap1,Camkv,
Uap1,Ltk,
Dusp6,9530059O14Rik,
Gabbr1,Frmd4a,
Vdac3,2010204K13Rik,
Slc25a11,Camk2n2,
Pithd1,Poc1a,
Uqcr10,Arid5a,
Pnn,Serpini1,
Myeov2,Flna,
Ccnl2,Cib2,
Adcy1,Grhl1,
Prpf4b,B9d2,
Fam46a,Jam2,
Rnd2,Slc1a1,
A830010M20Rik,LOC102632463,
Pdxp,Lrch1,
Kmt2e,Tmem108,
Dmtf1,Lrrc4c,
Clta,Sh3bgrl2,
Phactr1,Chsy3,
Zfp445,Net1,
Mrpl42,Ankrd6,
Pnpla8,Dpy19l3,
Kcnc1,Hes1,
Fis1,Gucy2g,
Aak1,Akap13,
Psmb4,Dlc1,
Lmo1,2900092D14Rik,
Tspan31,Asap2,
Nemf,Mgll,
Uba1,Napepld,
Mest,Asic4,
3-Sep,Mmgt2,
Pacsin1,Rgs16,
Galnt14,Rspo1,
Ndufs8,Steap2,
Hagh,Htr2c,
Fdft1,6430573F11Rik,
Chuk,Npy2r,
Kcna2,Amn,
Ewsr1,C630043F03Rik,
Cd34,Lpl,
Gmfb,2810032G03Rik,
Dok5,Ctdspl,
Chordc1,Zfp385a,
Coch,Slit2,
Cfap36,Cdk18,
Zfp365,Mgat5b,
Dzip3,Phactr1,
Psmd12,N4bp3,
Il11ra1,Pdyn,
Higd2a,S100b,
Elavl2,Zdhhc23,
Matk,Cdh18,
Ddit3,Prdm8,
Dld,Marcks,
Rufy2,Galnt13,
Plekhb2,Tspan4,
Gpr83,Crhr1,
Ostn,9-Sep,
Atraid,Il18,
Scamp5,Lmo1,
Cd63,Cntn2,
Gabra4,LOC105245487,
Gpr158,Ptpru,
Eef1e1,D630023F18Rik,
Ppapdc1a,Exph5,
Cript,Pafah1b3,
Tuba1b,Il1rapl1,
Ndufs6,Chml,
Txnl1,2900055J20Rik,
Ncor1,Aff2,
Ftx,LOC105244637,
Fhl1,Robo1,
Scn1b,A830009L08Rik,
Herc1,Vwa1,
Cp,Tiam1,
Srsf11,Rassf3,
Usp11,Aldh1b1,
Abi2,Tmem117,
Psmc2,Rgcc,
Bcat1,Clmp,
Tro,Appl2,
Cope,Slc27a2,
Celf1,Wbscr17,
Tpm1,Gabrb1,
Stx12,Lhfpl3,
Ostf1,Gdpd5,
Igfbp5,Mkl2,
Pcdh17,Epha5,
Cnrip1,Slc41a1,
Hdac2,Slc7a1,
Ddx24,Hcn3,
Slc25a12,Apeh,
Cnot7,Baalc,
6430548M08Rik,Ppfia4,
Zfp260,Zbtb16,
Mast3,Cyp7b1,
Dst,Cbfa2t3,
Ahcyl1,Epb4.1,
Phip,Slitrk1,
Ctnnb1,Bmper,
Aamp,Sez6l,
Mzt1,Plcl1,
Zmat2,Map2k6,
Eif4h,6330416G13Rik,
Eif4e,6430548M08Rik,
Igfbp6,Gse1,
Hcn1,Pstpip2,
Pfkl,Wnt10a,
Bcas2,Syne2,
Tceal1,Nr3c2,
Npm1,Csmd1,
Scrg1,Il12a,
Neto1,Kazald1,
Srek1,Cux2,
Rgs8,Mrap2,
Cops3,Cotl1,
Thoc2,Dlgap2,
Ptov1,B3glct,
Ik,Flt3,
Fxyd7,Trib1,
Ndufb11,Sall2,
Akap9,Gcnt2,
Fstl5,Kcnj3,
Prdx3,Lhx2,
Adam22,Ankrd35,
Yars,Ctnnb1,
Kcnt2,Eif4ebp1,
Ptpn4,Spock1,
Ywhaq,Csmd2,
Cpsf6,Pcsk5,
Fdps,LOC102637409,
Tmsb10,Slc7a5,
Ppa1,E2f1,
Ppp2r2b,Gap43,
Eif3c,Il17ra,
Uba3,Camk2n1,
Puf60,Ndnf,
Mrfap1,Gpm6b,
Nptx1,Gabra1,
Fam49b,Nos1,
Prpf39,Sox11,
Fyttd1,Hip1,
Lrrn3,Dock10,
Ptpn5,Serinc2,
Nudt19,Fstl1,
Ttc9b,Acsl3,
Opcml,B3gat1,
Psmd6,Cacng5,
Psmc4,Erc2,
Arpc1a,Rwdd3,
Vamp4,Hs3st5,
Cenpa,Adcy1,
Clstn2,Coro1a,
Aes,Ppfibp1,
Clcn3,Scn1a,
Sec11c,Thap3,
Habp4,Spsb1,
Nek1,Zfp608,
Nisch,Crim1,
Nhp2l1,Opcml,
Atp5e,Kcnh5,
Tcaf1,Egln3,
Fgfr1op2,Fcor,
Rap1b,LOC102634502,
Dgkg,Larp1b,
Hnrnph2,Chst15,
Kcnk1,Vat1l,
Timm17a,Gnaz,
Pura,Nfatc2,
Mrps14,Neu2,
Cops4,Per3,
Atxn7l3b,Arnt2,
2510003E04Rik,Nkain4,
Psd3,Stard10,
Cct6a,Cdh2,
Dpp10,Whrn,
Akap8l,Srd5a1,
Srsf1,Golm1,
Nppc,Arhgef6,
Zfp871,Ephb1,
Ergic3,Golga7b,
Chmp5,Pxdc1,
Ndufv3,Tjp1,
Rbm5,Bcl6,
Gabrd,2900026A02Rik,
St8sia3,Sema5b,
Cycs,Ece1,
Sf3b2,Pde5a,
Cuedc2,Palmd,
Trim44,Chl1,
Slc23a2,Plekhb1,
Txn1,Maob,
Marcksl1,Rell1,
Cnih3,Pla2g7,
Klhdc3,1810010H24Rik,
Ccdc88a,Inhba,
Klhdc2,Rnf152,
Pcdh20,LOC102636700,
Rgs7,H2-T22,
Pink1,Nupr1,
Dctn6,Epha3,
Armcx1,Tshz2,
Deptor,Etv6,
Kcnip2,Efnb3,
Scai,Igfbp7,
Nop10,A830021M18Rik,
Pip5k1c,9130024F11Rik,
Sfr1,Serpinb9,
Dnajc7,Rhobtb3,
Fezf2,Cdh4,
Aars,Col5a1,
Esd,Adam19,
Cmpk1,Myo5b,
Arxes2,Srrm4,
Spag9,Ccdc136,
Gpx1,Fhad1,
Wdr1,Syt7,
Fam174a,Pde2a,
Hspe1,Samd14,
Mmp17,C230057M02Rik,
Anks1b,Ccdc138,
Tmem167,Cited1,
Vrk1,Scrn1,
Ttc4,Gpc6,
Aktip,Nrtn,
Txn2,Chrm3,
Mybpc1,9230114K14Rik,
Rwdd2a,Moxd1,
Tango2,Tmem178,
2610001J05Rik,Frzb,
Cdc42se2,Gfm2,
Ist1,Cdh22,
Magi3,Hspb3,
Tanc2,Pfkfb3,
Lppr5,Ntm,
A830018L16Rik,Samd5,
Peg3,Adamtsl2,
Dlx1,Gatm,
Lrrtm1,Orai2,
Tmem147,Ltbp3,
Rnf13,Grpr,
Sumo1,St8sia5,
Necab3,Decr1,
Nt5c3,Slc16a11,
Ggnbp2,Lgi1,
Eif3a,Rph3a,
9330159F19Rik,Timp3,
Cs,Kcns1,
Slc20a1,Cast,
Lmbrd1,Tmem53,
Dnajc5,Arhgap24,
Psmd4,Psd2,
Ndufa12,Ccnd1,
Socs5,Pparg,
Adk,Gpr26,
Fam134a,Abcc4,
Dzank1,Apool,
Rasl10a,Bhlhe41,
Arap2,Zfp189,
Rps11,Eogt,
Tcap,LOC102635502,
Cept1,Cntnap3,
Garnl3,Fbxo32,
Sh3gl3,Phactr2,
Drg1,Tmem229a,
Crispld2,Spag6,
Pin1,Sgcz,
Ttll7,Syt5,
Tmod2,LOC102636041,
Cdk17,Adrb1,
Ier5,Lsamp,
Atp1b3,Nxph2,
Psmd7,Fndc3b,
Lmo3,Nog,
Col25a1,Ntng1,
Gdap1,Sertm1,
St8sia5,Lbh,
Gtf2h5,Btg2,
Herc3,Adra2c,
S100b,Usp35,
Tspan5,Ttyh1,
Ptprt,Plekho1,
Camta1,Fam43a,
Pde4b,Ier5l,
Hmgn3,Casp3,
Dazap2,Unc13c,
Slc38a1,Dock11,
Htra1,Slc39a11,
Psma4,Sorcs2,
Eps15,Ankrd34c,
Copa,Sox4,
Enho,Hsd11b1,
Ppid,Tmem74,
Khdrbs3,Casz1,
Ssu72,Fgf10,
Hdgfrp3,D8Ertd82e,
Blcap,Fam3c,
Dpy19l1,Fkbp9,
Tmem65,Tnnt2,
Coro1a,11-Mar,
Cdk5r1,Ptgs2,
Prkar2b,Ackr3,
Slc25a46,Dbndd2,
Rbm18,4933412E12Rik,
Cops7a,Chst11,
Dap3,Hmgn5,
Rab26,Gstm1,
Ly6g6e,Hrk,
Cdc123,Synm,
2210013O21Rik,Amotl1,
Cited2,Thrb,
Cspg5,Snx8,
H2afz,Dtna,
Dnajb4,Mir99ahg,
Phf20l1,Hmox1,
Akap11,Mthfd1l,
Sar1b,Fbxo10,
Gabrb3,Kcnj4,
Sstr2,Otud7b,
Tfg,Sstr4,
Fundc1,Ptgfrn,
Gnao1,Nkain3,
Rnf112,Wnt2,
Rab15,Sipa1,
Ppig,Erich3,
Ppp1r12a,Prr13,
Sec61a2,Myh7,
Pfn1,Tekt5,
Cops5,Col4a1,
Rpn1,Manba,
Nfix,AI593442,
Ptk2,Xkr6,
Atp11b,Lats2,
Pdcd6,Slc8a3,
Taok1,Ank1,
Cnih2,Bcan,
Rbfox3,Tmem132c,
Dkkl1,Spry2,
Far1,Tspan12,
Ptprs,Ctbp2,
Naa20,LOC100503338,
Tenm1,Anks1,
Ahsa1,Mcm6,
Rsrc2,Foxp2,
Nceh1,Nceh1,
Morf4l1,Tmem243,
Tm2d2,Fmn1,
Fkbp8,Slit3,
Stxbp6,Lrrc38,
Il1rap,Ntn5,
Ranbp1,Fancd2,
Dpp6,Sh3gl2,
Auh,Rnf146,
Ugcg,Rab31,
Bcap29,Sdk2,
Tmem47,Acot5,
Mien1,Prkg2,
Car10,1700001O22Rik,
4833439L19Rik,Clic4,
Bhlhb9,Slc4a4,
Trh,Itga8,
Cdh12,Vipr1,
Shfm1,Grem2,
Osbpl8,Pdzrn4,
Slc7a14,Stard5,
Inhba,Ahr,
Eef1b2,Tspan9,
Pcdh10,Cables1,
Slc6a17,Foxo1,
Rph3a,Acvr1c,
Guk1,Mycn,
Pmm1,Nxph3,
Pqbp1,Cnp,
Cox7c,Efcab6,
Cltb,Chrna7,
Med28,LOC102638670,
Actr3b,A230070E04Rik,
Camk1g,Dennd2a,
Uqcc2,Rgs17,
Tmem50b,Nt5dc2,
Epm2aip1,Amigo2,
Sphkap,Rxrg,
Psat1,Sntb2,
Zfand6,Boc,
Gpcpd1,Zfp827,
Aig1,Fxyd5,
Nr2f2,Aldh1a1,
Braf,Egfr,
Srm,Tgfb3,
Id3,1110008P14Rik,
Caprin1,Rab3c,
Mapk9,Cd55,
Emc2,Fgfr1,
Lrp11,Rem2,
Nrd1,Gucy1b3,
2700089E24Rik,Gpr125,
Hcfc1r1,C130074G19Rik,
Slc35g2,Sox1,
Pcdh11x,Hcrtr2,
Bscl2,Myo1e,
Ubqln1,Chrna5,
Sacm1l,Fyn,
Pacsin2,Ripply2,
Disp2,Chst8,
Atp8a1,Sorbs1,
H2-T23,Actn2,
Rgmb,Gria1,
Gabra5,Etnk2,
Gadd45b,Tmem132e,
5031426D15Rik,Tmem150c,
Exoc3,Rragb,
Meis2,Syt6,
Luc7l2,S1pr5,
Anapc5,Psrc1,
Hk1,Cd59a,
Ash1l,LOC105243425,
Tprgl,Cyp2j6,
Trappc6b,Trio,
Snrpb,LOC105244038,
Eri3,2310067E19Rik,
Tmem178,Dusp23,
Zmym6,Crlf1,
Rev3l,Grm4,
Fubp1,Pvrl1,
Eif4a1,6330403K07Rik,
Sox2ot,LOC105244162,
4-Sep,Ncan,
Nicn1,Elovl4,
Tm2d3,Gpr150,
Ldb2,Cited4,
Rps14,Pde11a,
Pdlim3,Tunar,
Acat1,Slc44a5,
Usp33,Runx2,
Pde10a,Sema7a,
Naca,Cmbl,
Fndc5,Oxtr,
Mrpl20,LOC105244249,
Tmx1,Astn2,
Camk2a,Limk1,
Trhde,Mobp,
Tsn,Mfap2,
Magi2,Smco3,
Orc4,Prkg1,
Ola1,Ccdc80,
R3hdm2,Ccdc3,
Ppp3cb,Dll3,
Btbd3,Entpd3,
Ostc,Thbs2,
Shroom2,Lin28b,
Plcxd3,Zbtb46,
Ddx3x,C130030K03Rik,
Azin1,Rarb,
Tmed4,Enox2,
Eef2,Efemp2,
Pvrl3,LOC105245598,
Rims3,Lor,
Cct2,Fbxw7,
Edf1,Sec14l2,
Eprs,Cacna1a,
Mapk4,4833422C13Rik,
Wdfy3,Grp,
Ptpra,Ubtd1,
Sar1a,Pde7b,
Brwd1,Pycr1,
Dusp26,Gabrb2,
Snx32,Hkdc1,
Snx7,Ccdc88c,
4932438A13Rik,Golim4,
Fam178a,Kank3,
Mcfd2,Slc26a4,
Polr2g,Tgfb2,
Srp19,Fat1,
Herc2,Gria4,
Nktr,Arhgap18,
B230216N24Rik,Apoe,
Serbp1,Rab42,
Pten,Crispld1,
Astn1,Dusp5,
Vps13b,Rnf144a,
Atp6ap1l,Trps1,
Mlip,Cdyl,
Ccl27a,Wnt5a,
Syngr1,Col26a1,
Sod2,Met,
Akap7,Tmem215,
Timp3,Lancl3,
Amph,Grid2,
Plcb4,Rasd1,
Nav3,Ccdc74a,
Rnf128,Efna1,
Mmd,Rnf144b,
Clpp,Glra3,
Napg,Jph4,
Tmem222,Rin2,
Zc3h15,Asph,
Tmem33,Kcnk1,
Armc8,Fgf1,
Farsb,A330040F15Rik,
Gnl3l,Tmem176b,
Tmem38a,3300002P13Rik,
Dtd1,Zfp462,
Tm9sf3,Zfp703,
Med21,Chp1,
Tpbg,Dclre1b,
Sfxn3,AW551984,
Psmd8,Zfp575,
Cds2,Col9a2,
Pdrg1,Akap12,
Trim37,Npnt,
Flywch1,1700017B05Rik,
Fst,Mal2,
Ddx3y,Igfn1,
Atp1b2,Sec24d,
Gstp1,Slc24a4,
Slc25a22,Ephx1,
Lamtor5,Fam131c,
Nenf,2610100L16Rik,
Mapre2,Myh14,
Klhl7,Sema4g,
Chmp2a,H2-M3,
Sat1,R3hdm1,
Dlg2,Arhgap31,
Stk32c,Nrcam,
Cyfip2,Pard6g,
Cmip,Id3,
Sytl2,Hcn2,
Crmp1,Gpc4,
Serp2,Mcur1,
Ina,Pou3f1,
Fkbp2,Sgpp2,
Copz1,Tbc1d8b,
Adra1b,Pcsk4,
Hn1,Trim59,
Hecw1,Fam184b,
Grik1,Gpr56,
Paics,Myo16,
1810037I17Rik,Vgf,
Ccdc47,Olfm2,
Zc2hc1a,Gjd2,
U2surp,Mdm1,
Cdk5,Tnnt1,
Ube2n,Kcng1,
Rprml,Pde4d,
Metap1d,LOC105243282,
Atat1,Gsn,
Dpysl2,Sh3rf1,
Sema5a,Htr1a,
Cacna1e,Spry1,
Kcnq2,Itgb8,
Tle4,Cdr2,
Sfpq,Pgm2l1,
Sorcs3,Htr7,
Gpbp1,Mcfd2,
Kcna1,Syt10,
Soga3,Syt13,
Bod1l,Lamc2,
AI413582,Hebp2,
Spryd7,Maml3,
Luc7l3,Prex1,
Cxcl12,Elovl7,
Eif3i,Reps2,
Evi5,Phgdh,
Jam2,Egr2,
Atf2,Hivep2,
Pkig,Fras1,
Eif1a,Wisp1,
Tsg101,Srrm3,
Bai3,Cd68,
Akap6,Lamb1,
Impa1,Sp9,
Moxd1,Qrfpr,
Immt,Cplx1,
Uba2,Slc22a4,
Syndig1,Zfpm2,
Snrpd1,Gstm7,
Tspan6,2310030G06Rik,
Appl1,Dact2,
Csde1,Cp,
LOC105243853,Hsbp1l1,
Strn4,Hs6st3,
Rpl41,Fads6,
Pcdh18,Ass1,
Slitrk4,Nnmt,
Uchl5,Gcnt4,
Chchd6,Masp1,
Dhx36,Efcab1,
8430419L09Rik,Skap2,
Cttnbp2,Cyp46a1,
Cox17,Cacna2d2,
Nae1,Grik4,
Strap,Col6a2,
Lysmd2,Pwwp2b,
Tmem176b,Prss22,
Frmpd4,Wif1,
Rb1cc1,Plp2,
Fbxo9,Fam49a,
Slc5a7,Dpp4,
Tmem106b,Scx,
Lrrtm3,Lpgat1,
Mkl2,Skap1,
Ablim1,Cabp1,
Vopp1,9430038I01Rik,
Abce1,Tmem130,
Itpr1,As3mt,
Ier3ip1,LOC432842,
Gadd45a,Rassf2,
A230073K19Rik,Ehd4,
Pnkd,Hhatl,
Lsamp,Lrrc16a,
Gm33298,Sox8,
LOC102632463,Ifit3,
Unc13c,Cd7,
Ephx2,Mtfp1,
Nfx1,Inpp4b,
Tmx3,Pgam2,
Fbxl16,Rbfox1,
Sbds,Stk26,
Naa50,Wasf1,
Hspd1,Alk,
Crabp1,Ascl1,
2700060E02Rik,LOC105246301,
Serpinf1,Gsto1,
Rpn2,Slc16a2,
Ilf2,Cdh20,
Tmem163,Acot1,
Churc1,Stxbp3a,
Ddah1,Pygm,
Ccar1,Acer2,
Trappc2l,Susd2,
Nap1l3,Plekhh2,
Cdipt,Tanc1,
Sirpa,Scn7a,
Gtdc1,Haus4,
Epha5,Cemip,
Degs1,Hsd17b12,
B4gat1,LOC105246020,
Sorbs2,Abi3bp,
Dync1h1,Nr2e1,
Tpd52,Abhd16a,
Tmem68,Pde1c,
Cstf3,Zdhhc12,
Cep19,Ube2l6,
Dtna,Bambi,
LOC105243425,Hebp1,
A230006K03Rik,Tgfbr1,
Nap1l4,Fam196a,
Oaz1,Mef2c,
Gnaq,Mcc,
Rnf220,Mme,
Arl2bp,Ppp1r1a,
Ddx17,Plekha2,
Fh1,Fxyd1,
Commd3,Tpm2,
Gucy1a3,Sh2d7,
Etl4,St3gal1,
Adcyap1r1,Npas4,
Ttc33,Kcnmb4os2,
Mkrn1,Grk5,
Sgta,Ankrd44,
Rpl22l1,LOC102640573,
A330023F24Rik,Slc41a3,
Bicd1,Mybpc1,
Jak1,Nedd9,
