HE_genes,DE_genes,NP_genes
Agps,,
Nabp1,,
Suv420h1,,
Prkag2,,
Ece2,,
Fam78b,,
Abtb1,,
Stk38,,
Lysmd3,,
Alad,,
Slitrk5,,
Ap3b1,,
Arhgef17,,
Mrps22,,
Kansl3,,
Osbpl6,,
Senp5,,
Map2k2,,
Zfp182,,
Med20,,
Ankrd26,,
Dph7,,
LOC101055907,,
Asic2,,
Gzf1,,
Use1,,
Adam10,,
Hspa2,,
Aebp2,,
Atg10,,
Ddx52,,
Uspl1,,
Pank2,,
Ncoa5,,
Wdr45,,
LOC105243365,,
Tmem251,,
Pomk,,
Mios,,
Blzf1,,
Fam118a,,
Gbf1,,
Med8,,
Dock11,,
Gpkow,,
Echdc2,,
Txlng,,
Stim2,,
Zfp385b,,
Efcab14,,
Pop4,,
Tmem209,,
Edem3,,
Fastkd3,,
Anp32a,,
Mrpl16,,
5330417C22Rik,,
4930453N24Rik,,
Glmn,,
Mid2,,
Aamdc,,
Snrpa1,,
Atp2b3,,
Tsc22d2,,
Mms19,,
Eif4g1,,
Mcee,,
Vti1a,,
Sik2,,
Gnptab,,
Tln2,,
Abhd14a,,
Tfam,,
Mfge8,,
Rfc1,,
Mcm6,,
4632415L05Rik,,
G2e3,,
Dock9,,
LOC105246094,,
Clybl,,
Slc35b3,,
Zfp961,,
Sytl5,,
Vegfb,,
Sec24b,,
Klhdc1,,
Larp1,,
Trmt11,,
Itgb1bp1,,
Prpf40b,,
Ahctf1,,
Uty,,
Msh3,,
Traf7,,
Mb21d2,,
Smyd5,,
Lemd3,,
Osgepl1,,
Lrtm2,,
Ubac2,,
Gm34455,,
Nt5dc3,,
Rn7sk,,
Ntmt1,,
Fchsd2,,
Mapkap1,,
Ahcyl2,,
Epb4.1l4b,,
Polr1c,,
Aifm1,,
Fbxl6,,
Cep83os,,
Zfp407,,
Fam171a1,,
Tma7,,
Ints4,,
Letmd1,,
Magee2,,
Tmem41a,,
Cpd,,
Lig3,,
Serac1,,
Tdrkh,,
Atrnl1,,
Ints6,,
Tpgs1,,
Suco,,
Ralgds,,
Akap17b,,
Rit1,,
Coq6,,
Prkcdbp,,
Nrg1,,
Zfp940,,
Gpn3,,
Apopt1,,
LOC102631979,,
Tlk2,,
Ablim3,,
Nin,,
Zfp87,,
Sidt2,,
Vstm5,,
Slc5a6,,
Pitrm1,,
Apbb3,,
Pikfyve,,
Mtx1,,
Fam73b,,
LOC105246715,,
Lrrc55,,
Uimc1,,
Pkd1,,
Dapk1,,
Med23,,
Kiz,,
Stx8,,
Fam96a,,
Aacs,,
Kctd3,,
Gmcl1,,
Tdp2,,
Tubgcp3,,
Swt1,,
Trak2,,
Xrcc6bp1,,
Zfp12,,
Gspt2,,
2410002F23Rik,,
Rbck1,,
Ackr3,,
Pot1a,,
Zfp654,,
Slco3a1,,
Fam122a,,
Zfx,,
Odf2,,
A430033K04Rik,,
Kcne4,,
Zfp827,,
Ddx41,,
Arhgap35,,
Pigf,,
Slc44a2,,
Fam76a,,
Ccdc174,,
Map3k7,,
Ndnl2,,
Hcfc1,,
Nup133,,
B9d2,,
Pkn2,,
Cd83,,
Rnf123,,
Pkd2,,
Hdac6,,
BC005537,,
Ankrd6,,
Med9,,
Bmi1,,
Bcl2l2,,
Rabepk,,
Dcakd,,
Maoa,,
Bmpr1a,,
Zfp874a,,
Zfp248,,
Ptpn12,,
Clic1,,
LOC105244148,,
Irs1,,
Rbm27,,
Myh8,,
Gm34257,,
Zmym4,,
Osgin2,,
Clint1,,
Cbx4,,
Csnk1g1,,
Ankrd55,,
Elac1,,
Ilf3,,
C87436,,
Sgpl1,,
4930503L19Rik,,
Lrch2,,
Slc31a1,,
Slc25a1,,
Gga2,,
Atmin,,
Wdr34,,
Btg1,,
Jun,,
Auts2,,
Fam76b,,
Sec61a1,,
1110037F02Rik,,
1700123O20Rik,,
Mrps30,,
Rspo3,,
D3Ertd751e,,
Mfsd5,,
Arhgap44,,
Rfx7,,
Plat,,
Wbscr22,,
Med13l,,
Cntnap3,,
Stx16,,
Pttg1ip,,
Mphosph10,,
Dimt1,,
Alg5,,
E430025E21Rik,,
Prep,,
1810011O10Rik,,
Jmjd8,,
Adam23,,
Syn3,,
Pdcl3,,
Fbxo7,,
Cenpc1,,
Zfp367,,
Htr1f,,
Mfsd8,,
Tarsl2,,
AI987944,,
Nab1,,
Msl3,,
Ackr1,,
Mmp16,,
Cacna1d,,
Stk24,,
Imp3,,
Mpp5,,
Msrb2,,
Rspo2,,
Stxbp4,,
Mpp3,,
Vmn2r-ps23,,
Ccdc82,,
Cby1,,
Cacna1c,,
Phka1,,
Itga4,,
Mllt10,,
Rps6kl1,,
Hsdl2,,
Ccnt1,,
Trnau1ap,,
Pigc,,
Flii,,
0610010K14Rik,,
Bbs2,,
Pde7a,,
Dnajc1,,
Pak2,,
Wdr48,,
Ehmt1,,
Zfp959,,
Pdcd6ip,,
Phka2,,
Zfp266,,
Dcaf5,,
Cbfb,,
Deaf1,,
Insr,,
Ifit1,,
Herc6,,
Tmem248,,
Dpf2,,
Bicd2,,
Zfp933,,
Cndp2,,
Tbc1d9b,,
Pibf1,,
Gpc3,,
Tigd2,,
Oxa1l,,
Ccar2,,
Grhpr,,
Prpf4,,
Zfp14,,
Spg21,,
Rprd1b,,
Eif2b3,,
Tab2,,
Eif4e3,,
Zfyve9,,
Rpl30,,
Itih5,,
Panx1,,
Cep57,,
Mn1,,
Cog3,,
Usp53,,
Wdr11,,
Zfp275,,
Lsm14a,,
Cadm3,,
Ptgds,,
Dgki,,
Arhgap36,,
Fig4,,
Pogk,,
Efemp1,,
Ndufaf2,,
Focad,,
Scp2,,
Gm5665,,
Yif1a,,
Csnk2a2,,
Fancd2,,
2610044O15Rik8,,
Zw10,,
Frmd3,,
Taf2,,
Riok2,,
Oprk1,,
Ext2,,
Zfp128,,
Rnf32,,
Ech1,,
Pdpr,,
Vps9d1,,
Slc25a19,,
Mlh3,,
Brf1,,
Phc3,,
Ift80,,
Slc38a9,,
Zscan18,,
6030458C11Rik,,
Cdk12,,
Eml6,,
Slc29a1,,
Wdr19,,
Arhgef12,,
Cbx7,,
Slc37a4,,
Rgs19,,
Sap30bp,,
Rps26,,
Ccdc109b,,
Rrm1,,
Btf3l4,,
Tmem64,,
Ulk1,,
Mlh1,,
Cdkl5,,
Map3k13,,
Rspry1,,
Zfp74,,
Inpp4b,,
Zfp790,,
Epha6,,
Fam214a,,
Alkbh7,,
Rabl6,,
Asl,,
Mt2,,
Apip,,
Acad8,,
Gpr3,,
Vwa5b2,,
Pan2,,
Rnf44,,
Tm7sf3,,
Dhx40,,
Fam184b,,
Gprin3,,
Aldh18a1,,
Znrd1,,
Mphosph9,,
Dennd1b,,
Ercc6l2,,
Tmem186,,
Crkl,,
Taf1d,,
Slc41a1,,
Tob1,,
Rab36,,
Zfp952,,
Atpaf2,,
Eml4,,
Clasrp,,
Map4k2,,
Gm34538,,
Nploc4,,
Smg6,,
Mtor,,
Tbc1d14,,
Snhg3,,
Mrps27,,
Iars2,,
Phtf2,,
Frmd7,,
Dnal1,,
Baiap3,,
Ppp4r4,,
Ep300,,
Mettl4,,
Mrps11,,
Tex261,,
Rcbtb1,,
Adprm,,
Arhgef6,,
Qrsl1,,
Clec16a,,
Reps1,,
Trappc2,,
Parn,,
Tmco3,,
Ggh,,
Arih2,,
Pcgf6,,
Smek1,,
Gatsl2,,
Trim27,,
Nupl1,,
Slc17a5,,
Gltscr1l,,
Otud5,,
Specc1l,,
Syf2,,
Tmem127,,
Ado,,
Gmppa,,
Abl2,,
LOC102639429,,
Klhl28,,
Gpr19,,
Atg2b,,
Ubn1,,
Ino80d,,
Commd9,,
Prokr2,,
Nutf2,,
Pgam2,,
Wdr73,,
Vcan,,
Zbtb41,,
Trio,,
Izumo4,,
Ppargc1b,,
Zcchc14,,
Pus10,,
Zfp606,,
E130308A19Rik,,
Dus1l,,
Clcn7,,
Zfp583,,
Prkd3,,
AK010878,,
Fam189a1,,
Nup98,,
Ddx27,,
Heca,,
Zfp143,,
Ciz1,,
Atp8b2,,
Acin1,,
Adck1,,
Hip1,,
Glb1,,
Nars2,,
Rab33b,,
Smad1,,
Dync2li1,,
2610035D17Rik,,
Gosr1,,
P4ha2,,
Vamp3,,
Alg11,,
Setd5,,
Lrrc41,,
Ppapdc3,,
Galnt2,,
Fbxl20,,
Zfp263,,
Plekha2,,
Zfp954,,
Krba1,,
Adam33,,
Paip2b,,
Iah1,,
Atp11a,,
Pex1,,
Fat1,,
Exosc1,,
Tmem19,,
Acyp1,,
Thap7,,
Usp39,,
Snhg14,,
Riok1,,
Nkap,,
Bphl,,
Lman2l,,
Paip1,,
1810041L15Rik,,
Cd2ap,,
Anapc7,,
Papd5,,
Manbal,,
Jarid2,,
Dnm2,,
Col12a1,,
Vprbp,,
Map3k12,,
Cables2,,
9330151L19Rik,,
Znrf1,,
Gm31914,,
Pcca,,
Csgalnact2,,
Lgalsl,,
Scpep1,,
Rap1gap,,
Mib2,,
Sowahb,,
Shisa7,,
Ppapdc1b,,
Mrps33,,
Rev1,,
4930570G19Rik,,
Tvp23a,,
Dyrk1a,,
Zfp523,,
Sox11,,
Rap1a,,
Kat6b,,
Optn,,
Zfp772,,
Imp4,,
Elmod2,,
Pofut2,,
Tmem131,,
Gm26911,,
Me2,,
Aph1b,,
Scarb2,,
Vegfa,,
LOC102634026,,
Slc35e2,,
Rbp1,,
Ubr7,,
Zfp101,,
Tmem168,,
Nudt2,,
Diablo,,
Rsbn1l,,
Polr2d,,
Edem2,,
Sepn1,,
Col4a2,,
Dhx33,,
Zyx,,
Med1,,
Anapc13,,
Bms1,,
Crat,,
Neo1,,
Vwa5a,,
Gpc1,,
Siah1a,,
Pds5a,,
Vps54,,
Ccdc93,,
Krr1,,
Tmem120a,,
Frs2,,
Casc3,,
Cwf19l2,,
Ago1,,
Sart1,,
Itgb8,,
Paqr4,,
Samd8,,
Crtc1,,
9330155M09Rik,,
Gtf2a1,,
Zfp740,,
Tmem42,,
Tab3,,
Ldoc1l,,
Wrap73,,
Lix1,,
Cox19,,
Sephs2,,
BC002059,,
Pogz,,
Usp20,,
Nkain2,,
Mex3c,,
Usp37,,
Ccdc149,,
LOC105246177,,
Nudt10,,
Ncln,,
Ccp110,,
LOC105244249,,
Oscp1,,
Tmem229b,,
Pqlc1,,
Kdm4b,,
Tnfrsf19,,
Phf8,,
Gm20590,,
Gstt1,,
Zbtb25,,
Alg6,,
Pcdhb16,,
Tmem63b,,
Nfrkb,,
Tmod1,,
Rad17,,
Rbms1,,
Rtn2,,
Ankrd49,,
D630023F18Rik,,
Abcg2,,
Spag5,,
Ints2,,
Gorab,,
Pcdhb3,,
Hectd3,,
Mbd5,,
Cenpf,,
D2Wsu81e,,
Ppil1,,
Rce1,,
Slc25a37,,
Mettl8,,
Gm30759,,
Rrad,,
Dand5,,
Zfp119a,,
Enpp4,,
Vars,,
Rnf216,,
Mfsd4,,
Zcchc10,,
LOC105247131,,
Rbm48,,
Ap4e1,,
Zfp623,,
LOC100503338,,
Pdik1l,,
A830082N09Rik,,
Ttn,,
Cdo1,,
Kcnab2,,
Firre,,
D930015E06Rik,,
Setdb1,,
Arid1b,,
Sorcs2,,
Gdpd5,,
Micu2,,
Gabpb1,,
Zfp759,,
Serf1,,
Etfdh,,
Cntrl,,
Ldoc1,,
Strn,,
Elp4,,
Rtel1,,
Kansl1l,,
Srsf9,,
Pam16,,
Opa3,,
Pex12,,
Dedd,,
Plcg1,,
B3galnt2,,
Col11a1,,
Gm33099,,
Adck3,,
Cwf19l1,,
Nup107,,
Sh3rf3,,
Heatr3,,
Trim39,,
Hdac10,,
Hps3,,
Prim1,,
6330403A02Rik,,
Acvr1,,
Poc5,,
Wdr60,,
Gfpt1,,
Apc2,,
9530077C05Rik,,
Megf8,,
Ifnar1,,
Xrcc1,,
Pik3r4,,
Gm15520,,
Gm6712,,
Appl2,,
Kcnh5,,
Zfp608,,
Zfp874b,,
Gm11418,,
Otud1,,
Morc2a,,
Prdm4,,
Ctnnd1,,
Bbx,,
Aatf,,
Zfp398,,
Eif2ak4,,
Trafd1,,
Nbas,,
Cep104,,
Eid2b,,
Eral1,,
Adck2,,
Msh6,,
Cdkn2aip,,
Gm15355,,
Rhot2,,
Acn9,,
Itgb1,,
Hmbs,,
Col26a1,,
Gm18728,,
C330018D20Rik,,
Gm17171,,
Pde3a,,
St6galnac6,,
Entpd5,,
Zhx3,,
Fam222b,,
Golt1b,,
Arfgap3,,
Alg9,,
Abcb6,,
Ndrg1,,
Max,,
Polr3e,,
Larp7,,
Ajap1,,
Dopey2,,
Gm16150,,
Mrto4,,
Baz2a,,
Tex30,,
Dnm3os,,
Fndc3b,,
Numa1,,
Iqgap1,,
AK129341,,
Chd7,,
Ddx19b,,
Grip1os1,,
Cdh18,,
Phc2,,
Fosb,,
Gtf3c4,,
Slc15a2,,
AW554918,,
Katnbl1,,
Gpc6,,
Ppm1f,,
Gm30648,,
Cep97,,
Rcor3,,
LOC105242688,,
Pgf,,
Slc35a3,,
Zfp119b,,
Med16,,
Mtmr2,,
Ptpn1,,
Pla2g4e,,
Slc20a2,,
8-Mar,,
Mcph1,,
Ano6,,
Lsg1,,
Sirt1,,
Gtpbp2,,
Zfp467,,
Hmgxb3,,
Foxo1,,
Phc1,,
Zcchc9,,
Gab2,,
Orai3,,
Hibch,,
Mcm4,,
Palm,,
Mad2l1,,
Tsr3,,
Trmt10b,,
Cbwd1,,
Keap1,,
Nprl3,,
Tmem205,,
Cep295,,
Ano10,,
Telo2,,
Phrf1,,
E4f1,,
B230317F23Rik,,
Skiv2l,,
Med25,,
Cyp7b1,,
Sox2,,
Slc9a8,,
Wbscr17,,
Spty2d1,,
Plxna3,,
Slc35d1,,
Myo6,,
Slain1,,
Trim26,,
Pramef8,,
Ilvbl,,
Idua,,
Ncapd2,,
Usp54,,
Vrk3,,
Zfyve19,,
Pptc7,,
Eftud1,,
B230216G23Rik,,
Aldh7a1,,
Nup50,,
2810021J22Rik,,
Bax,,
Lats1,,
Gfm2,,
Fam160b2,,
Dhodh,,
Zxdb,,
Srrm4os,,
Zfyve28,,
Cblb,,
Ginm1,,
Zcchc8,,
Tbc1d12,,
Diap2,,
Gm36616,,
Supt7l,,
Rgs5,,
Wdr4,,
Abcc1,,
Txndc11,,
Txnrd2,,
Hsf2,,
Cxxc1,,
Alg13,,
Nek9,,
Ttll5,,
Rwdd3,,
Trim46,,
Pcx,,
Coa7,,
Aars2,,
Zfp870,,
Armc10,,
Ctdsp2,,
Rps6ka5,,
Stx5a,,
Atxn3,,
LOC105243200,,
Hdac8,,
Lnpep,,
Hinfp,,
Sox1,,
Twistnb,,
Aste1,,
Fam131b,,
Fggy,,
Prmt6,,
Lap3,,
Lekr1,,
Pcsk7,,
AW146154,,
Igk,,
Dcp1a,,
Fars2,,
Pard6g,,
LOC105243948,,
Lima1,,
Abhd17c,,
Ints3,,
Vwa9,,
Racgap1,,
Ankrd13a,,
Chmp4b,,
Npr2,,
2700049A03Rik,,
Asb6,,
Edrf1,,
Zfp708,,
Klhdc4,,
Myo16,,
Sdhaf1,,
Ss18,,
Il18,,
Lats2,,
Csgalnact1,,
Stard10,,
Mre11a,,
Smoc1,,
Fibin,,
Mlst8,,
Nufip1,,
Rapgef1,,
Cbfa2t2,,
Nit2,,
Arhgef1,,
Atg7,,
Pmm2,,
Tamm41,,
Dancr,,
Grhl1,,
Ccdc130,,
Stk3,,
Ckap4,,
Fam204a,,
Arfip1,,
Tinf2,,
Gm996,,
Prr3,,
3110040N11Rik,,
LOC105246920,,
Slain2,,
Zfp189,,
Il6st,,
Pank3,,
Klhl26,,
Plxna1,,
LOC105244195,,
Etv6,,
Mettl25,,
Polr1a,,
Zfp784,,
Fam43b,,
Nelfe,,
Rnf219,,
Sppl2b,,
Mycbp,,
Rai2,,
Sil1,,
Zkscan14,,
Pik3cb,,
Dgcr8,,
Ankrd37,,
LOC105245096,,
Eed,,
Kcna3,,
Pigm,,
Zfp507,,
Ccdc134,,
Dgka,,
Tmem117,,
Ago4,,
Fkbp14,,
Cbl,,
Obfc1,,
Hipk2,,
Ttf1,,
F3,,
Arf6,,
Gucd1,,
Sephs1,,
Psd2,,
Nfkbiz,,
Lins,,
Fkbp15,,
Atad5,,
Cog5,,
Defb1,,
Patl1,,
LOC105246443,,
Gmeb1,,
Pllp,,
Ndst2,,
Rps6ka4,,
Wdr90,,
Noa1,,
Dennd4b,,
Tbc1d8,,
Sh2d3c,,
Pigg,,
Zfhx2,,
Mapkapk5,,
Chrna6,,
Dpy19l4,,
Dhx35,,
Smg8,,
Gemin5,,
Zfp84,,
Clk2,,
Mtfmt,,
Tmem260,,
Dscaml1,,
Ctns,,
Csrp2bp,,
Gm16083,,
Cep68,,
Spryd4,,
Rps6ka2,,
Il17ra,,
Zfp780b,,
Eif2ak3,,
Abcc8,,
Traip,,
Gm15723,,
Fmn1,,
LOC105245148,,
Arl6ip6,,
Tspan15,,
Mtif3,,
Arvcf,,
Rnf215,,
Atf6b,,
Fam196a,,
Sin3a,,
Tcaim,,
Ctso,,
Snhg5,,
Sfrp1,,
1700030L22Rik,,
Dph5,,
Sp1,,
Ankrd35,,
Fam13a,,
Gm30553,,
LOC105242595,,
Gm17202,,
Cep192,,
Spice1,,
Baz1a,,
Hus1,,
Malt1,,
Tmc7,,
Rad9a,,
Lmnb2,,
Cd52,,
Col6a3,,
Adamts10,,
Clrn1,,
Mtap,,
Miip,,
Elmod3,,
Cyb5d1,,
Rab34,,
Ino80,,
Rad50,,
Hexdc,,
Cep85,,
Gm5113,,
Gm15496,,
Acot3,,
Hps1,,
Gm3871,,
Map2k6,,
Scyl2,,
Gstm7,,
Tmem80,,
Zfyve26,,
Atp7a,,
Tctn2,,
Cdk20,,
Rabl3,,
Sirt5,,
Cnnm3,,
Mgme1,,
Tuft1,,
Perp,,
Gtf2h4,,
Fus,,
Ascc2,,
Slc9a9,,
Zfp78,,
Zfp574,,
Lca5,,
Ing5,,
Spns2,,
Pcgf3,,
Tbc1d31,,
Celf3,,
Lmln,,
Zranb3,,
Grid2,,
Sp3os,,
6720489N17Rik,,
Alkbh5,,
1700094D03Rik,,
Gnpnat1,,
Wbp1l,,
Phf13,,
Vsig2,,
Spats2,,
Plcd1,,
Fam188b,,
Map10,,
9430008C03Rik,,
Apex2,,
Rnf113a1,,
Chst11,,
Ssh1,,
Larp1b,,
Mapk7,,
Gm29695,,
Zfp951,,
Efcab2,,
Gm3134,,
Casp1,,
Trabd,,
Pygo2,,
Susd6,,
Sgpp2,,
Mad1l1,,
B4galt5,,
Arg2,,
Lzic,,
9130011E15Rik,,
Xylt2,,
Axin1,,
Gpr137b,,
Ccdc157,,
LOC105245783,,
Timeless,,
Dhfr,,
Cc2d1b,,
Gm13748,,
Zfp184,,
Filip1l,,
Aldh1l1,,
Amer1,,
BC052040,,
Spry2,,
Ifngr1,,
Lgr5,,
Jrk,,
Ift140,,
Plek,,
Enox2,,
Nadsyn1,,
Kcnu1,,
Cdyl,,
5031425E22Rik,,
Dmp1,,
Gm20939,,
Gm16973,,
Ctbp2,,
Gm19691,,
LOC105246668,,
Gm26901,,
Slc35g1,,
Adamts1,,
Stxbp3a,,
Zfp934,,
Neb,,
F2r,,
Tmem101,,
Amer3,,
Postn,,
Mmgt2,,
Cdca7,,
Gm3116,,
Zfp418,,
Fam159b,,
Pag1,,
Gm19744,,
Pcnt,,
Neat1,,
Diexf,,
4921511H03Rik,,
Dnah1,,
P2ry12,,
Tex15,,
LOC105242754,,
Plekha7,,
Arhgap22,,
Hist1h2be,,
Slc19a1,,
St6galnac3,,
Naf1,,
Etnk2,,
Rnf144a,,
Arrdc4,,
Slc25a20,,
Peo1,,
Fgfr2,,
Mycl,,
AI846148,,
Sox4,,
Rab35,,
Dnah5,,
Pld2,,
LOC105245720,,
Lrrc42,,
Fam98b,,
2610306M01Rik,,
Bag3,,
Ganc,,
Pgpep1,,
LOC105242760,,
Prdm1,,
Capn6,,
Litaf,,
Rbmxl1,,
Mfap2,,
LOC105243374,,
Prrc1,,
Gm33937,,
Plod2,,
Arhgap17,,
Gm15577,,
Grtp1,,
Ctu1,,
Gpr64,,
Nphp4,,
C330027C09Rik,,
Gm5858,,
Fbrsl1,,
Kank3,,
Zfp109,,
2610028E06Rik,,
Nts,,
LOC105246970,,
Cdkn1c,,
Gm16108,,
Pld1,,
Slc12a4,,
LOC105246869,,
Stbd1,,
Itga6,,
Tom1l1,,
Kcnk10,,
Dcn,,
Gm18173,,
LOC105244765,,
Emp2,,
Gm17922,,
Gm32807,,
Slco5a1,,
Cep41,,
Gm32849,,
Gm11652,,
Sgcd,,
Gm32657,,
Gm30868,,
LOC105246571,,
Naaladl2,,
Apold1,,
Dvl2,,
Smad9,,
Ezr,,
Myt1,,
Gm26756,,
Mtbp,,
Trpm4,,
Wnt7b,,
Tmem123,,
Trim68,,
1810032O08Rik,,
Gm17809,,
Fmnl3,,
Unc5b,,
D330050G23Rik,,
Efcab5,,
Vipr2,,
Stk36,,
Slc1a3,,
Igsf9,,
Rbm19,,
LOC105246642,,
LOC105243400,,
Cacna2d2,,
Zscan30,,
Srebf1,,
Pltp,,
LOC102635783,,
Lhfpl2,,
Hsd3b7,,
Gm32497,,
Sh2d4b,,
Kdelc2,,
Phykpl,,
Dll1,,
Lgr6,,
Wbscr27,,
Cachd1,,
Dach1,,
Lrrc51,,
Ankrd63,,
Myo10,,
Emp3,,
Timp1,,
Btd,,
Egf,,
Calcb,,
Cpa6,,
5430405H02Rik,,
LOC105245693,,
Calcrl,,
Gcgr,,
LOC105242602,,
P2rx5,,
LOC105247213,,
Mcm2,,
Tmem116,,
Gm13607,,
Zfp831,,
Ccdc141,,
Epn1,,
Lhx9,,
Gal,,
B430319G15Rik,,
LOC105245780,,
Ppef1,,
Sspn,,
1600029O15Rik,,
Tenc1,,
Adamts19,,
Elf1,,
Gm715,,
Gm28876,,
LOC105246452,,
LOC102641931,,
Cd274,,
LOC105245280,,
Gcnt1,,
Gm33856,,
Mertk,,
Gm34116,,
Rec114,,
Gm34970,,
Cdca7l,,
LOC105245905,,
Gm6722,,
Gm13397,,
Pole,,
LOC105245523,,
Ripk4,,
LOC105247067,,
Sall3,,
Gper1,,
Vmn2r1,,
Trp73,,
Nppa,,
Eya2,,
Dqx1,,
Phxr4,,
Cd74,,
Gja1,,
Gm33647,,
LOC105243367,,
Kcnj5,,
Nhlh2,,
Anxa1,,
Crabp2,,
Gm34654,,
LOC105246738,,
Tnfrsf18,,
Slc8b1,,
Oit3,,
Dlk1,,
Gm30056,,
Gpr50,,
Npb,,
Gm35209,,
Nmu,,
Tbx15,,
Gm27199,,
Dcdc5,,
Crct1,,
Gm15786,,
LOC105243317,,
Serpinb2,,
Lhx5,,
Osmr,,
Slc6a3,,
LOC105243980,,
